LP.;ID;Nazwa;Rzeka;SzerokoúÊ geograficzna;D≥ugoúÊ geograficzna;WysokoúÊ n.p.m.
547;253210280;DOBRYLAS;Pisa;53 17 07;21 51 53;102
548;253210290;PTAKI;Pisa;53 23 35;21 47 30;107
549;253210370;åWI TAJNO;Narew;53 33 49;21 13 41;142
550;249180550;CIESZYN;Olza;49 46 30;18 36 33;255
551;250160560;STRONIE åL•SKIE;Bia≥a Lπdecka;50 18 09;16 51 58;502
552;250190150;BONOWICE;Pilica;50 37 16;19 47 37;260
553;349200628;HALA G•SIENICOWA;Dunajec;49 14 38;20 00 21;1 523
554;351160425;WROC£AW;Odra;51 06 49;16 52 54;120
555;252150270;BABIMOST;Gni≥a Obra;52 08 37;15 48 12;57
556;253140060;GOLENI”W;Ina;53 35 38;14 53 18;5
557;249190920;LIPNICA WIELKA;Czarna Orawa;49 32 16;19 32 43;819
558;251150420;STANKOWICE;Kwisa;51 01 00;15 18 49;335
559;250150530;åWIERAD”W-ZDR”J II;Kwisa;50 54 21;15 19 32;595
560;252170390;GNIEZNO II;We≥na;52 31 25;17 37 49;117
561;250160910;SREBRNA G”RA II;BudzÛwka;50 34 51;16 40 06;380
562;251180090;SIERADZ;Warta;51 35 35;18 41 14;140
563;252230080;NOWE MASIEWO;Narew;52 50 02;23 53 50;150
564;252170420;ROGOWO;We≥na;52 43 57;17 38 36;94
565;253190370;B•GART;Elblπg;53 59 30;19 23 04;0
566;253170360;PRUSZCZ;Brda;53 26 47;17 49 32;124
567;254150050;BIA£OGARD;ParsÍta;54 00 15;15 58 30;23
568;253190380;LUBSTYN;DrwÍca;53 31 39;19 50 44;200
569;254160030;S£AWNO;Wieprza;54 21 06;16 40 13;25
570;254190120;KMIECIN;Szkarpawa;54 11 16;19 09 50;0
571;251190250;BE£CHAT”W;Widawka;51 22 47;19 23 49;207
572;254170070;BUKOWINA;£upawa;54 25 20;17 50 36;162
573;252160350;KOPASZEWO;Kana≥ MosiÒski;52 00 12;16 49 05;91
574;253150330;S£ONOWICE;Rega;53 43 01;15 43 05;105
575;253180160;RADZY—-FIJEWO;RadzyÒska Struga;53 22 58;18 56 49;104
576;253210380;TUROWO;Pisa;53 31 43;21 54 06;141
577;249220360;BUKOWIEC;Solinka;49 18 21;22 24 49;435
578;253170330;SITOWIEC;KrÛwka;53 22 08;17 45 15;134
579;250170840;MESZNO;Nysa K≥odzka;50 25 56;17 08 27;212
580;253160260;WICEWO;ParsÍta;53 53 15;16 07 25;49
581;254170020;SMO£DZINO;£upawa;54 40 02;17 12 06;4
582;253180260;LUBIEWO;Brda;53 27 50;18 01 30;116
583;253230230;ZARZECZANY;Supraúl;53 06 06;23 41 04;146
584;250180660;RUDA åL•SKA;K≥odnica;50 14 49;18 49 12;236
585;250190530;KATOWICE PYRZOWICE;Przemsza;50 28 38;19 05 42;301
